score;steps;seed;unfinished
-65;141;19809;0
-85;113;25178;0
-465;189;24576;0
-260;148;15148;0
-70;110;16244;0
-70;110;22440;0
-75;111;18623;0
-200;136;12911;0
-75;111;25286;0
-105;117;21039;0
-145;125;18667;0
-10;138;22692;0
-125;121;18684;0
-220;140;24160;0
-325;161;20646;0
-210;138;15927;0
-250;146;15409;0
-130;122;11694;0
-165;129;14837;0
-215;139;22469;0
-10;98;24413;0
54;122;26337;0
65;83;29016;0
35;109;13694;0
131;69;8242;0
-30;102;1949;0
130;70;21310;0
-25;101;11486;0
80;120;4203;0
-225;141;21024;0
-20;100;19065;0
-70;110;27337;0
-90;114;12124;0
-150;126;9675;0
50;86;26193;0
-255;147;12709;0
90;78;5266;0
-265;149;3971;0
70;82;16921;0
70;82;7526;0
-130;122;15587;0
17;103;9340;0
-105;117;13739;0
-269;145;21846;0
82;82;31033;0
-95;115;32566;0
105;75;29977;0
-150;126;28864;0
-65;109;14816;0
35;89;1092;0
-230;142;9242;0
-45;105;22028;0
-35;123;14885;0
85;115;23493;0
-50;106;25855;0
-210;138;20281;0
105;75;17073;0
-120;120;9807;0
-60;108;2865;0
-70;110;21783;0
-195;135;32315;0
-39;111;2644;0
-560;208;14948;0
50;86;26352;0
-30;102;4813;0
-335;163;13319;0
20;92;23865;0
-90;114;10750;0
93;107;30609;0
-232;152;27511;0
-40;104;9867;0
-115;119;30667;0
-47;99;17820;0
-195;135;18710;0
-5;97;9696;0
-34;114;15645;0
125;71;22161;0
-105;117;4637;0
-105;117;15178;0
-410;178;25070;0
-185;133;20025;0
-100;116;5858;0
30;90;5642;0
70;82;8678;0
-100;116;30089;0
-15;99;25461;0
-5;97;19237;0
-120;120;18603;0
55;85;14585;0
-25;101;7575;0
143;57;5658;0
-110;118;275;0
-35;103;8952;0
-135;123;28954;0
65;83;30017;0
-320;160;24830;0
-185;133;10900;0
-105;117;29884;0
-85;113;11672;0
-105;117;29024;0
40;88;13346;0
-165;129;9747;0
-75;111;23368;0
-275;151;3088;0
-240;144;5021;0
-115;119;10536;0
95;77;23238;0
-85;113;8579;0
97;103;16264;0
-205;137;30657;0
-215;139;5090;0
13;109;31057;1
80;80;26750;0
-155;127;6638;0
81;119;11781;0
-55;107;24775;0
35;89;10412;0
-407;179;10389;0
-100;116;17037;0
-135;123;6166;0
-175;131;19872;0
-130;122;17553;0
-110;118;866;0
-115;119;18920;0
-45;105;21592;0
-105;117;7441;0
-105;117;24718;0
-60;108;20066;0
-220;140;11639;0
60;84;27324;0
111;89;23456;0
-185;133;26057;0
90;78;28135;0
55;85;32738;0
-85;113;16609;0
-165;129;17681;0
136;64;24297;0
110;74;30722;0
-365;169;22347;0
-120;120;10752;0
5;95;18849;0
-265;149;8287;0
-95;115;32608;0
40;88;19261;0
-24;124;23507;0
-185;133;10212;0
0;96;1763;0
-240;144;28560;0
-40;104;26262;0
45;87;14125;0
-255;147;4882;0
-72;116;435;0
-155;127;31241;0
62;98;13296;0
-190;134;18960;0
-70;110;8299;0
36;104;11912;0
9;119;26363;0
8;112;11151;0
-120;120;3382;0
-75;111;27446;0
90;78;10568;0
20;92;31392;0
5;95;6153;0
33;123;23016;0
-300;156;8310;0
5;95;31;0
-5;97;11301;0
-215;139;5167;0
-350;166;10103;0
55;85;22616;0
-70;110;18866;0
73;127;24238;0
-210;138;25615;0
30;90;9965;0
-160;128;31227;0
-90;114;22004;0
75;109;13629;0
10;94;26146;0
-70;110;23362;0
-75;111;11307;0
-80;112;29049;0
0;96;5205;0
-90;130;21607;0
75;81;25463;0
-150;126;29628;0
-15;131;29410;0
-30;102;18545;0
-40;104;17551;0
15;93;25880;0
-170;130;27255;0
35;89;18350;0
-140;124;21516;0
118;82;24856;0
-65;109;29703;0
-85;113;965;0
-55;107;24016;0
86;98;9454;0
-45;105;10673;0
-225;141;27127;0
-305;157;12698;0
-75;111;2783;0
-160;128;31640;0
-270;150;17669;0
-75;111;13924;0
-75;111;7259;0
-365;169;30618;0
-45;105;4668;0
13;127;27704;0
-280;152;2041;0
-15;99;28708;0
-205;137;9211;0
15;93;19902;0
-120;120;15696;0
-140;124;12116;0
-40;104;11451;0
-41;109;14887;0
-135;123;16989;0
137;63;17307;0
-75;111;12286;0
65;83;8731;0
-72;132;10236;0
-30;102;5103;0
-145;125;28059;0
-440;184;12824;0
-210;138;6020;0
-150;126;28226;0
-70;110;21887;0
45;87;26882;0
125;71;17920;0
40;88;12818;0
-50;106;11230;0
-300;156;194;0
15;93;31845;0
125;71;14863;0
105;75;9905;0
1;115;8365;0
-180;132;31988;0
-135;123;13506;0
-265;149;21228;0
-415;179;7541;0
-160;128;22462;0
40;88;21229;0
-90;114;20289;0
-194;166;6904;0
-113;133;3269;0
0;96;28932;0
-154;150;11949;0
58;106;16902;0
-140;124;5635;0
45;87;30064;0
-115;119;2199;0
-245;145;29295;0
-175;131;13734;0
-45;105;4664;0
-170;130;30027;0
15;93;4896;0
-50;106;11595;0
-190;134;16544;0
-75;111;8726;0
35;89;9830;0
90;78;3759;0
-115;119;24415;0
-140;124;32571;0
-315;159;8256;0
1;107;16974;0
45;87;1834;0
-2;2;17518;1
-35;103;31743;0
20;92;13652;0
-115;119;18510;0
-40;120;11417;0
85;79;17348;0
-105;117;7781;0
78;122;31055;0
-287;171;6740;0
-100;116;20143;0
0;96;5122;0
-15;99;2920;0
85;115;23493;0
-20;100;24877;0
-360;168;17429;0
-90;114;1681;0
-135;123;9275;0
55;85;22042;0
-75;111;10274;0
15;93;27593;0
-230;142;2284;0
-460;188;31560;0
-35;115;4343;0
-15;99;700;0
84;112;3873;0
-180;132;31681;0
-210;138;19832;0
142;58;14675;0
0;96;3888;0
40;88;28583;0
-20;100;26831;0
-160;128;569;0
-358;170;32506;0
-75;111;20107;0
-20;100;5145;0
-140;124;20058;0
-265;149;28949;0
-160;128;15270;0
-20;100;10759;0
5;95;5421;0
-605;217;30708;0
75;81;1037;0
-245;145;610;0
-15;99;15141;0
35;89;30380;0
-65;109;2056;0
-45;105;19253;0
35;89;19034;0
100;76;20142;0
-95;115;32608;0
-60;108;26168;0
-85;113;30031;0
-180;132;29106;0
-52;120;31109;0
-62;102;8345;0
-95;115;2058;0
-145;125;15321;0
-80;112;24769;0
50;86;17321;0
-145;125;18667;0
-105;117;4213;0
-25;101;13524;0
-125;121;8722;0
-50;106;18256;0
-175;131;10547;0
-60;108;22837;0
-30;102;7943;0
-165;129;8640;0
132;68;16137;0
-105;117;5568;0
35;89;3696;0
-95;115;23375;0
50;86;27821;0
-150;126;3035;0
56;132;18950;0
-5;97;26329;0
98;102;16230;0
-20;100;8057;0
-210;138;20281;0
55;85;5555;0
-130;122;22913;0
-46;118;14864;0
-40;104;6135;0
-185;133;30624;0
-32;120;9466;0
-210;138;16465;0
40;88;25091;0
-65;109;28758;0
88;112;5789;0
31;113;21568;0
-100;116;3958;0
45;87;10714;0
-5;97;32212;0
-95;115;9114;0
-35;103;3287;0
-56;112;31864;0
-465;189;958;0
-435;183;15866;0
-35;103;6782;0
-110;118;9839;0
-150;126;27815;0
-95;115;17645;0
-175;131;28017;0
29;111;17062;0
-195;135;30128;0
30;90;5856;0
-110;118;16488;0
100;100;21135;0
-20;100;29040;0
85;79;1269;0
142;58;4981;0
-218;142;658;0
-105;117;23160;0
-110;118;11728;0
-205;137;30230;0
-90;114;8705;0
-60;108;19848;0
-50;106;20995;0
-110;118;7415;0
10;94;4888;0
58;142;3507;0
-205;137;28903;0
-170;130;17302;0
-210;138;17891;0
-100;116;13946;0
-40;104;15579;0
-80;112;22174;0
-75;111;12696;0
-20;100;14784;0
131;69;29543;0
-65;109;423;0
-95;115;31237;0
30;90;8220;0
-50;106;28185;0
-105;117;15410;0
-15;99;5961;0
-35;103;30464;0
5;95;9688;0
-15;99;31916;0
-260;148;6836;0
-15;99;25472;0
-70;110;20261;0
100;76;27023;0
-185;173;32393;0
-35;103;13944;0
-190;182;4393;0
-255;147;15472;0
-140;124;14409;0
50;86;23397;0
-60;108;6108;0
-430;182;2210;0
-115;119;2674;0
-10;98;14146;0
35;89;13882;0
20;92;16507;0
35;89;14653;0
-20;100;23653;0
-45;105;24521;0
-145;125;21178;0
5;95;21610;0
-390;174;7717;0
85;79;9396;0
-134;134;23669;0
-205;137;30626;0
55;85;11162;0
-170;130;31582;0
-250;146;12125;0
-40;104;22001;0
-145;125;30864;0
-25;101;12778;0
-190;134;17774;0
40;88;32696;0
-80;112;19952;0
30;90;16527;0
-160;128;6126;0
-40;104;27343;0
-125;121;18281;0
80;80;4643;0
-50;106;32660;0
-105;117;32729;0
-75;111;11800;0
35;89;20894;0
-90;114;11326;0
-40;104;10482;0
-340;164;596;0
25;115;14833;0
-70;110;29617;0
-85;113;17626;0
85;79;26376;0
-240;144;6824;0
44;128;21818;0
85;79;23965;0
95;77;18018;0
-110;118;1826;0
-185;133;5350;0
-35;139;1916;0
106;94;31170;0
8;132;22751;0
-295;155;28673;0
-55;107;17843;0
-275;151;26442;0
26;122;12185;0
-345;165;25569;0
5;95;4040;0
-125;121;8543;0
-185;133;26436;0
-125;121;22218;0
40;88;4726;0
-180;132;19533;0
45;87;27880;0
-111;143;6291;0
-165;129;18439;0
126;74;20606;0
-170;130;17657;0
80;80;23582;0
85;79;30586;0
-65;109;13674;0
-375;171;10973;0
-65;109;20913;0
131;69;22577;0
-165;129;24096;0
60;84;8201;0
60;84;4513;0
-165;129;9799;0
-6;158;21982;0
-200;136;28002;0
111;89;17016;0
-185;133;14094;0
-100;116;14421;0
-120;120;8319;0
-55;107;12469;0
-60;108;25364;0
105;75;24388;0
